team_name_norm,opponent_norm,last5_avg_score,last5_win_rate,last3_win_rate,win_streak,days_rest,h2h_win_rate,venue_win_rate,cum_wins_before_match,ladder_rank_before_match
fremantle dockers,west coast eagles,78.0,0.6,0.3333333333333333,-2,7.0,0.4,0.5735294117647058,3.0,5.0
fremantle dockers,western bulldogs,80.8,0.4,0.6666666666666666,1,7.0,0.0,0.5862068965517241,2.0,1.0
geelong cats,adelaide crows,92.0,0.8,0.6666666666666666,1,7.0,0.2,0.7130177514792899,12.0,2.0
geelong cats,brisbane bears,130.4,0.8,0.6666666666666666,-1,7.0,0.5,0.62,5.0,1.0
geelong cats,brisbane lions,102.4,1.0,1.0,5,6.0,0.5,0.5714285714285714,5.0,1.0
geelong cats,carlton blues,74.4,0.4,0.3333333333333333,-1,7.0,0.5333333333333333,0.625,15.0,1.0
geelong cats,collingwood magpies,84.4,0.6,0.6666666666666666,1,7.0,0.4285714285714285,0.6024096385542169,13.0,1.0
geelong cats,essendon bombers,120.0,1.0,1.0,13,6.0,0.3333333333333333,0.6307692307692307,13.0,1.0
geelong cats,fitzroy lions,115.2,0.8,0.6666666666666666,2,7.0,1.0,0.4,8.0,3.0
geelong cats,fremantle dockers,88.8,0.6,0.6666666666666666,-1,10.0,0.8,0.7,8.0,1.0
geelong cats,gold coast suns,103.2,0.6,0.3333333333333333,-2,10.0,1.0,0.7058823529411765,0.0,4.0
geelong cats,greater western sydney giants,100.6,0.8,0.6666666666666666,1,7.0,1.0,0.5,11.0,1.0
geelong cats,hawthorn hawks,100.6,0.6,0.6666666666666666,2,11.0,0.4,0.5990566037735849,3.0,2.0
geelong cats,melbourne demons,95.6,0.6,0.6666666666666666,1,8.0,0.5555555555555556,0.7064846416382252,1.0,1.0
geelong cats,north melbourne kangaroos,61.8,0.6,0.3333333333333333,-1,4.0,0.7142857142857143,0.5263157894736842,5.0,1.0
geelong cats,port adelaide power,104.6,0.6,0.6666666666666666,2,8.0,0.3333333333333333,0.7146974063400576,13.0,1.0
geelong cats,richmond tigers,90.6,0.2,0.0,-4,7.0,0.5714285714285714,0.7134328358208956,7.0,1.0
geelong cats,st kilda saints,109.4,0.8,1.0,4,6.0,0.8333333333333334,0.6593406593406593,4.0,1.0
geelong cats,sydney swans,73.4,0.8,0.6666666666666666,-1,9.0,0.625,0.6666666666666666,11.0,1.0
geelong cats,west coast eagles,99.8,0.4,0.3333333333333333,1,6.0,0.3636363636363636,0.5,1.0,3.0
geelong cats,western bulldogs,91.8,0.4,0.0,-3,7.0,0.5,0.6565656565656566,5.0,5.0
hawthorn hawks,gold coast suns,98.8,0.6,1.0,3,5.0,0.6666666666666666,0.0,7.0,1.0
gold coast suns,adelaide crows,93.4,0.4,0.6666666666666666,2,7.0,0.0,0.3809523809523809,2.0,4.0
gold coast suns,brisbane lions,107.6,0.8,0.6666666666666666,1,7.0,0.4,0.1428571428571428,5.0,2.0
gold coast suns,carlton blues,62.6,0.0,0.0,-12,7.0,0.0,0.2631578947368421,3.0,10.0
gold coast suns,collingwood magpies,69.6,0.2,0.0,-4,7.0,,0.2,5.0,6.0
gold coast suns,essendon bombers,102.8,0.6,0.6666666666666666,-1,8.0,0.5,0.392,6.0,3.0
gold coast suns,fremantle dockers,79.6,0.4,0.3333333333333333,1,8.0,1.0,0.3396226415094339,3.0,4.0
gold coast suns,geelong cats,55.2,0.0,0.0,-5,6.0,0.0,0.3536585365853658,3.0,9.0
gold coast suns,greater western sydney giants,78.6,0.4,0.6666666666666666,1,6.0,0.0,0.0,9.0,4.0
gold coast suns,hawthorn hawks,86.8,0.6,0.6666666666666666,-1,7.0,0.0,0.3620689655172414,6.0,3.0
gold coast suns,melbourne demons,60.2,0.2,0.3333333333333333,-1,8.0,1.0,0.25,4.0,5.0
gold coast suns,north melbourne kangaroos,60.2,0.2,0.3333333333333333,-2,7.0,0.6666666666666666,,4.0,6.0
gold coast suns,port adelaide power,56.8,0.2,0.0,-4,8.0,0.0,0.0,3.0,5.0
gold coast suns,richmond tigers,70.4,0.2,0.3333333333333333,-1,7.0,0.6666666666666666,0.2352941176470588,10.0,6.0
gold coast suns,st kilda saints,74.6,0.4,0.6666666666666666,-1,8.0,,0.2142857142857142,5.0,5.0
gold coast suns,sydney swans,111.4,0.8,0.6666666666666666,-1,8.0,0.0,0.4045801526717557,4.0,1.0
gold coast suns,west coast eagles,79.0,0.4,0.3333333333333333,-2,6.0,0.0,0.2857142857142857,9.0,3.0
gold coast suns,western bulldogs,73.2,0.4,0.3333333333333333,-1,7.0,,,3.0,6.0
st kilda saints,greater western sydney giants,77.8,0.8,1.0,4,9.0,0.4705882352941176,0.5,9.0,6.0
greater western sydney giants,adelaide crows,102.0,0.8,1.0,3,7.0,0.6666666666666666,0.375,8.0,1.0
greater western sydney giants,brisbane lions,80.6,0.4,0.3333333333333333,1,6.0,0.5,0.4137931034482758,2.0,4.0
greater western sydney giants,collingwood magpies,83.4,0.6,1.0,3,7.0,0.0,0.1764705882352941,15.0,2.0
greater western sydney giants,essendon bombers,75.4,0.2,0.3333333333333333,-2,8.0,0.3333333333333333,0.3928571428571428,1.0,3.0
greater western sydney giants,fremantle dockers,80.6,0.4,0.3333333333333333,1,6.0,,0.5959595959595959,5.0,3.0
greater western sydney giants,geelong cats,90.8,0.8,1.0,3,8.0,0.5,0.5980392156862745,10.0,4.0
greater western sydney giants,gold coast suns,65.0,0.6,0.3333333333333333,1,9.0,0.5,0.4,4.0,1.0
greater western sydney giants,hawthorn hawks,84.8,0.4,0.6666666666666666,2,13.0,0.6,0.25,2.0,2.0
greater western sydney giants,melbourne demons,78.2,0.2,0.3333333333333333,1,7.0,0.0,0.4705882352941176,11.0,1.0
greater western sydney giants,north melbourne kangaroos,94.4,0.8,0.6666666666666666,-1,10.0,0.6666666666666666,0.4444444444444444,13.0,2.0
greater western sydney giants,port adelaide power,85.8,0.6,0.6666666666666666,2,7.0,1.0,1.0,7.0,3.0
greater western sydney giants,richmond tigers,71.8,0.4,0.3333333333333333,-1,7.0,0.5,0.5357142857142857,1.0,3.0
greater western sydney giants,st kilda saints,65.0,0.0,0.0,-6,7.0,,0.3333333333333333,0.0,4.0
greater western sydney giants,sydney swans,84.2,0.8,0.6666666666666666,-1,197.0,0.0,0.25,0.0,1.0
greater western sydney giants,west coast eagles,102.4,0.8,0.6666666666666666,1,7.0,0.0,0.0,3.0,1.0
greater western sydney giants,western bulldogs,82.4,1.0,1.0,6,6.0,0.3333333333333333,0.0,10.0,3.0
hawthorn hawks,adelaide crows,96.0,0.8,0.6666666666666666,2,8.0,0.8333333333333334,0.4210526315789473,13.0,2.0
hawthorn hawks,brisbane bears,80.0,0.4,0.6666666666666666,2,7.0,1.0,0.7582417582417582,3.0,2.0
hawthorn hawks,brisbane lions,106.8,0.6,0.6666666666666666,-1,6.0,0.0,0.6666666666666666,10.0,1.0
hawthorn hawks,carlton blues,71.0,0.2,0.0,-3,7.0,0.5,0.602112676056338,2.0,10.0
hawthorn hawks,collingwood magpies,80.0,0.2,0.3333333333333333,-2,6.0,0.4,0.5822368421052632,5.0,9.0
hawthorn hawks,essendon bombers,77.4,0.2,0.3333333333333333,-2,7.0,0.4,0.5662650602409639,3.0,5.0
hawthorn hawks,fitzroy lions,111.4,0.8,0.6666666666666666,2,7.0,0.5,0.7777777777777778,15.0,1.0
hawthorn hawks,fremantle dockers,85.6,0.8,1.0,4,7.0,0.9166666666666666,0.4444444444444444,11.0,1.0
hawthorn hawks,geelong cats,90.8,0.8,0.6666666666666666,-1,8.0,0.7857142857142857,0.5830721003134797,4.0,1.0
hawthorn hawks,greater western sydney giants,99.4,0.8,1.0,3,7.0,0.3333333333333333,1.0,11.0,4.0
hawthorn hawks,melbourne demons,95.8,0.6,0.6666666666666666,2,6.0,0.3333333333333333,0.3333333333333333,6.0,1.0
